customerid,tgt,trips,amount_of_yen,quantity,purchase_period,purchase_recency,purchase_amount_per_trips,regularity,trips_cancellation,trips_cat85099,trips_cat85123,trips_cat22423,trips_cat47566,trips_cat84879,trips_cat20725,trips_cat22720,trips_catpost,trips_cat23203,trips_cat22383,mode_category
12490,0,5,2688.37,1462,121,23,537.674,24.2,0,3,0,0,0,0,2,0,5,3,0,POST
12523,0,5,780.69,440,173,9,156.138,34.6,0,0,0,0,0,0,0,0,3,0,0,23231
12540,0,10,7012.55999999999,3613,141,7,701.255999999999,14.1,0,0,2,4,0,5,1,1,9,0,0,POST
12562,0,4,1993.87,1007,116,11,498.4675,29,0,1,0,0,0,0,1,0,4,2,2,POST
12567,0,7,4384.53,1922,105,26,626.361428571429,15,0,1,0,1,1,2,1,0,4,0,0,23206
12569,0,17,2125.98,850,160,22,125.057647058824,9.41176470588235,0,0,0,0,0,0,0,0,15,0,0,POST
12576,0,4,660.85,463,122,25,165.2125,30.5,0,0,0,0,0,0,0,0,0,0,0,16016
12583,0,8,2464.61,2182,130,0,308.07625,16.25,0,0,0,0,0,0,0,0,7,0,0,POST
12584,0,7,514.36,92,105,10,73.48,15,0,0,0,2,0,0,0,3,0,0,0,22627
12594,0,4,1607.4,1020,113,51,401.85,28.25,0,0,0,0,0,0,0,0,0,0,0,23206
12598,0,4,1225.28,943,149,1,306.32,37.25,0,0,0,0,0,0,0,0,3,0,0,POST
12599,0,4,544.58,462,81,56,136.145,20.25,0,0,0,0,0,0,0,0,4,0,0,POST
12600,0,6,1374.64,408,140,14,229.106666666667,23.3333333333333,0,1,0,0,0,1,0,0,6,0,0,POST
12619,0,9,2160.97,2347,162,1,240.107777777778,18,0,0,0,0,0,0,0,0,5,0,0,POST
12621,0,14,7315.7,3849,145,11,522.55,10.3571428571429,0,3,0,2,0,0,4,0,10,3,3,POST
12626,0,6,3375.32,1808,49,42,562.553333333333,8.16666666666667,0,2,0,0,0,0,1,0,4,2,0,POST
12627,0,5,2727.83,1575,44,26,545.566,8.8,0,1,0,2,0,0,1,1,4,0,0,POST
12637,0,5,3886.95,2043,147,21,777.39,29.4,0,0,0,1,1,0,0,0,2,0,1,22556
12643,1,5,2473.44,1230,92,58,494.688,18.4,0,0,0,0,0,0,0,0,5,0,0,POST
12647,0,6,1743.37,746,167,8,290.561666666667,27.8333333333333,0,1,0,0,0,0,1,0,6,0,0,POST
12656,0,6,3405.47,1535,170,2,567.578333333334,28.3333333333333,0,1,0,2,0,0,5,0,4,1,2,20725
12662,0,4,1754.08,890,131,37,438.52,32.75,0,0,0,0,0,0,0,0,4,0,0,84997
12674,0,4,1372,763,116,21,343,29,0,0,0,0,0,0,0,0,3,0,0,POST
12678,0,7,4822.46,3147,171,8,688.922857142857,24.4285714285714,0,0,0,0,0,0,0,0,5,1,0,POST
12681,0,10,4098.58,2408,163,3,409.858,16.3,0,0,0,3,1,0,0,0,7,0,0,POST
12682,0,16,5407.67,2476,168,11,337.979375,10.5,0,1,0,1,4,0,4,0,14,5,1,POST
12683,0,8,3086.42,1781,128,22,385.8025,16,0,0,0,2,1,0,0,0,5,0,0,POST
12684,0,4,1379.48,1274,42,100,344.87,10.5,0,0,0,0,0,0,0,0,3,0,0,POST
12704,0,4,1346.47,603,91,8,336.6175,22.75,0,2,0,0,0,0,0,0,4,1,0,15056
12705,0,8,4100.14,2642,168,7,512.5175,21,0,1,0,1,0,0,2,0,2,0,2,85049
12708,0,9,1562.68,683,159,2,173.631111111111,17.6666666666667,0,0,0,2,0,0,0,0,5,0,0,POST
12709,0,13,4201.56,1965,168,1,323.196923076923,12.9230769230769,0,0,0,2,2,0,0,0,2,0,0,47590
12710,1,4,1130.57,849,104,26,282.6425,26,0,0,0,0,0,0,0,0,3,0,0,POST
12712,0,5,2357.65,500,106,36,471.53,21.2,0,0,0,0,0,0,0,0,5,0,0,15056
12720,0,15,2203.97,1821,168,3,146.931333333333,11.2,0,2,0,0,0,0,1,0,3,2,0,POST
12722,1,6,904.33,560,65,15,150.721666666667,10.8333333333333,0,0,1,0,0,0,0,1,1,0,0,85066
12731,0,7,8211.86,4035,182,0,1173.12285714286,26,0,0,0,2,0,3,5,0,1,0,0,20725
12744,0,6,6068.06,3544,104,74,1011.34333333333,17.3333333333333,0,1,1,1,1,0,0,0,0,0,0,M
12747,0,4,1449.31,415,108,39,362.3275,27,0,1,1,0,0,2,0,0,0,0,0,85062
12748,0,90,11322.39,8990,181,0,125.804333333333,2.01111111111111,0,9,3,3,8,1,4,3,2,3,6,85099
12749,0,6,2532.55,1031,99,43,422.091666666667,16.5,0,0,0,3,0,1,0,1,0,0,0,23245
12753,0,4,7144.52,3774,139,38,1786.13,34.75,0,0,0,0,2,0,0,0,0,0,0,22637
12757,0,13,1651.68,901,82,58,127.052307692308,6.30769230769231,0,2,0,0,0,0,3,0,0,3,1,M
12779,0,5,1404.14,686,59,119,280.828,11.8,0,0,0,0,0,0,0,0,0,0,0,23108
12830,0,6,6348.08,8695,80,21,1058.01333333333,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,23229
12839,0,7,2287.04,1626,126,1,326.72,18,0,4,0,0,0,0,0,0,0,4,0,23204
12840,1,6,2714.27,1505,82,73,452.378333333334,13.6666666666667,0,2,1,0,0,0,4,0,0,0,1,23206
12841,0,8,1388.69,936,149,19,173.58625,18.625,0,0,0,0,4,0,0,0,0,0,0,47422
12843,0,7,1577.41,700,61,89,225.344285714286,8.71428571428571,0,4,2,2,5,0,2,0,0,0,0,47566
12853,1,7,1470.75,649,131,37,210.107142857143,18.7142857142857,0,1,0,1,0,0,1,0,0,1,0,23110
12867,0,4,1725.15,1949,117,26,431.2875,29.25,0,0,0,0,1,2,3,0,0,3,3,79190
12877,0,6,747.75,540,174,8,124.625,29,0,0,0,0,0,0,0,0,0,0,0,15044
12901,0,24,8912.91,10376,166,11,371.37125,6.91666666666667,0,0,0,0,0,0,0,0,0,0,0,22988
12909,0,5,904.06,428,123,7,180.812,24.6,0,1,0,2,0,0,0,0,0,1,0,23298
12910,0,5,2050.18,1286,163,8,410.036,32.6,0,0,0,0,0,0,0,0,0,0,0,23209
12919,0,5,407.9,198,84,15,81.58,16.8,0,0,0,0,0,0,0,0,0,0,0,22652
12921,0,22,7129.13,3996,133,14,324.051363636364,6.04545454545455,0,5,0,1,1,5,5,0,0,3,0,84997
12930,1,4,409.9,250,93,8,102.475,23.25,0,0,0,0,0,2,0,0,0,0,0,84970
12931,0,9,23133.85,16155,139,30,2570.42777777778,15.4444444444444,0,0,0,0,0,2,0,0,0,3,0,21731
12935,0,4,1099.46,942,93,39,274.865,23.25,0,1,0,0,0,0,2,0,0,0,0,71459
12947,1,7,961.44,743,91,73,137.348571428571,13,0,0,0,0,1,0,2,0,0,0,1,22846
12949,0,9,3425.22,2030,138,44,380.58,15.3333333333333,0,0,2,1,2,2,1,1,0,0,0,84946
12951,0,4,432.19,156,85,93,108.0475,21.25,0,0,0,0,0,0,0,0,0,1,0,22498
12955,0,8,1346.64,1100,126,22,168.33,15.75,0,0,0,0,0,3,0,0,0,0,0,15039
12957,0,5,1887.33,1104,178,1,377.466,35.6,0,0,0,0,1,0,0,0,0,0,0,85049
12971,0,41,5599.63999999999,4042,175,3,136.576585365854,4.26829268292683,0,0,0,0,5,0,0,0,0,0,0,47590
12980,1,6,3488.07,581,54,85,581.345,9,0,0,0,0,0,0,0,0,0,0,0,84078
12989,0,6,2753.46,1415,158,10,458.91,26.3333333333333,0,0,0,0,0,0,0,0,0,1,0,22301
12997,0,4,599.99,347,150,15,149.9975,37.5,0,0,0,0,0,0,0,0,0,0,0,21232
13001,0,4,3172.1,1722,81,88,793.025,20.25,0,1,0,0,4,2,1,1,0,0,1,47590
13004,0,11,2496.66,2375,171,7,226.969090909091,15.5454545454545,0,2,2,1,1,0,1,1,0,1,0,85141
13012,0,6,493.35,292,141,8,82.2250000000001,23.5,0,0,0,0,1,0,0,0,0,0,0,21175
13013,0,9,2133.8,949,156,22,237.088888888889,17.3333333333333,0,0,0,1,2,2,0,0,0,0,0,22978
13014,0,7,1521.45,450,147,2,217.35,21,0,1,0,3,1,0,0,0,0,0,0,37446
13015,0,4,1763.04,705,52,127,440.76,13,0,0,0,1,0,2,0,1,0,0,0,84879
13018,0,18,4703.12,3629,176,2,261.284444444444,9.77777777777778,0,0,0,1,2,0,1,2,0,0,1,84755
13021,0,5,1197.63,537,145,0,239.526,29,0,3,0,0,0,0,2,0,0,0,0,85099
13027,1,4,5088,12720,119,43,1272,29.75,0,0,0,0,0,0,0,0,0,0,0,21212
13047,0,7,1324.74,636,105,43,189.248571428571,15,0,0,2,3,2,0,0,3,0,0,0,23160
13050,0,9,1925.46,1158,104,30,213.94,11.5555555555556,0,1,0,2,3,1,0,4,0,2,0,22151
13069,0,15,1946.29,3330,139,29,129.752666666667,9.26666666666667,0,1,0,0,2,1,0,0,0,0,0,84596
13078,0,17,5083.89,2163,170,12,299.052352941177,10,0,0,0,3,0,1,0,0,0,0,0,22726
13081,0,4,8848.41000000001,6264,88,59,2212.1025,22,0,0,3,2,2,0,2,1,0,0,2,15056
13082,1,7,2509.54,2477,109,56,358.505714285714,15.5714285714286,0,0,0,0,0,0,0,0,0,1,0,23205
13089,0,61,25630.99,14258,177,0,420.180163934427,2.9016393442623,0,3,3,12,8,11,7,2,0,5,0,84949
13090,0,4,2527.37,535,126,42,631.8425,31.5,0,0,0,0,0,1,0,0,0,0,0,22622
13094,0,8,1033.62,924,128,10,129.2025,16,0,0,3,0,0,0,0,0,0,0,0,84946
13097,0,8,2827.76,1114,155,7,353.47,19.375,0,0,0,5,4,0,0,0,0,0,0,22423
13098,0,22,16011.52,9263,162,17,727.796363636363,7.36363636363636,0,3,4,6,0,0,7,0,0,3,3,23231
13102,0,11,2703.46,1855,165,11,245.769090909091,15,0,0,3,0,0,0,0,0,0,0,0,22197
13113,0,20,6163.12,1453,128,43,308.156,6.4,0,0,0,2,6,0,1,0,0,0,2,22501
13115,0,6,858.15,611,111,2,143.025,18.5,0,0,0,0,0,0,2,0,0,0,1,82616
13134,1,7,1740.63,1044,167,2,248.661428571429,23.8571428571429,0,1,1,1,1,0,0,0,0,0,1,22960
13136,0,8,2126.2,1032,127,15,265.775,15.875,0,2,0,4,2,0,1,0,0,3,3,23206
13137,0,5,1667.78,1047,160,21,333.556,32,0,3,0,0,0,1,3,0,0,3,0,84997
13148,0,8,1175.84,617,125,37,146.98,15.625,0,0,2,0,0,1,2,0,0,0,0,35648
13178,0,7,4032.73,2424,172,3,576.104285714286,24.5714285714286,0,4,0,0,0,0,6,0,0,5,4,20726
13183,0,5,1946.7,1116,121,16,389.34,24.2,0,0,0,0,0,0,0,0,0,0,0,22670
13184,0,10,1239.42,1403,121,60,123.942,12.1,0,0,0,0,1,0,0,0,0,0,0,85132
13186,0,4,1265.74,531,35,23,316.435,8.75,0,1,1,0,0,0,0,1,0,0,0,82600
13199,0,13,2171.2,1660,148,22,167.015384615385,11.3846153846154,0,0,0,0,0,0,0,0,0,0,0,84947
13209,0,5,3668.43,3076,119,37,733.685999999999,23.8,0,1,0,1,0,0,2,0,0,0,1,22729
13213,0,5,961.73,475,71,58,192.346,14.2,0,0,0,0,2,0,0,0,0,0,0,84755
13217,1,5,133.62,114,34,52,26.724,6.8,0,0,0,0,0,0,0,0,0,0,0,23109
13220,1,4,819.29,196,158,8,204.8225,39.5,0,0,0,0,0,0,0,0,0,0,0,21922
13230,0,8,1378.97,826,107,68,172.37125,13.375,0,1,3,0,2,0,1,0,0,1,2,84596
13232,0,5,1048.3,654,144,28,209.66,28.8,0,1,0,0,0,0,2,0,0,0,0,84991
13263,0,20,4308.33,2646,178,0,215.4165,8.9,0,0,16,7,1,0,10,5,0,0,8,84596
13266,0,12,2509.64,2975,171,5,209.136666666667,14.25,0,0,0,0,0,0,0,0,0,0,4,85132
13267,0,11,1537.05,671,140,22,139.731818181818,12.7272727272727,0,0,0,1,2,1,0,0,0,0,0,82486
13268,0,7,1327.48,1409,157,14,189.64,22.4285714285714,0,0,0,0,0,0,1,0,0,0,1,21232
13269,0,8,2652.81,1799,162,18,331.60125,20.25,0,5,1,0,6,0,0,0,0,0,0,47566
13282,0,5,688.8,154,141,8,137.76,28.2,0,0,0,0,2,0,0,0,0,0,0,47566
13305,0,5,1025.75,573,152,22,205.15,30.4,0,0,0,1,0,0,0,0,0,0,0,85061
13317,0,5,954.82,376,56,113,190.964,11.2,0,0,0,2,2,0,0,0,0,1,0,22699
13319,0,16,4091.93,1784,164,15,255.745625,10.25,0,3,0,6,5,7,3,0,0,3,1,23209
13320,1,6,1491.7,1066,143,0,248.616666666667,23.8333333333333,0,0,0,0,1,0,0,0,0,0,3,23209
13324,0,8,5294.38,4042,153,19,661.7975,19.125,0,0,0,7,0,0,0,0,0,0,0,22423
13327,0,4,1306.6,672,73,42,326.65,18.25,0,3,0,0,0,0,0,0,0,3,0,85099
13340,0,4,5551.51,3543,39,35,1387.8775,9.75,0,0,0,0,0,0,1,0,0,1,0,23431
13381,0,4,2566.12,1374,117,19,641.53,29.25,0,0,0,0,2,4,0,3,0,0,0,84879
13384,0,7,3101.82,1694,104,3,443.117142857143,14.8571428571429,0,1,0,0,0,2,0,0,0,0,0,82582
13394,0,4,1212.01,1329,136,8,303.0025,34,0,1,0,0,0,0,0,0,0,0,0,90030
13397,1,4,937.41,238,110,2,234.3525,27.5,0,1,0,0,0,0,0,2,0,0,0,23243
13408,0,43,12879.18,7456,175,5,299.515813953488,4.06976744186047,0,2,4,1,0,1,4,2,0,1,0,85123
13418,0,15,3208.22,2706,172,9,213.881333333333,11.4666666666667,0,0,0,0,0,0,0,0,0,2,0,22729
13420,1,4,140.35,88,36,64,35.0875,9,0,0,0,0,0,0,0,0,0,0,0,21974
13426,0,5,974.21,582,168,0,194.842,33.6,0,0,0,0,0,0,0,0,1,0,0,23245
13435,0,5,1961.77,1194,113,5,392.354,22.6,0,0,0,0,0,0,0,0,0,0,0,23169
13437,0,4,2173.6,689,91,29,543.4,22.75,0,0,0,1,1,2,0,0,0,0,0,85174
13448,0,4,1626.81,870,139,9,406.7025,34.75,0,0,0,1,0,0,1,0,0,0,0,82583
13450,0,5,1727.28,1618,128,19,345.456,25.6,0,0,0,0,0,0,0,0,0,0,0,22570
13456,0,4,826.16,252,51,85,206.54,12.75,0,0,0,0,3,0,0,0,0,0,0,47566
13458,0,9,3471.95,2185,150,21,385.772222222222,16.6666666666667,0,1,4,0,3,3,0,0,0,0,3,23118
13468,0,19,2526.7,1283,177,4,132.984210526316,9.31578947368421,0,0,4,1,0,1,0,0,0,0,0,85123
13481,0,5,672.55,376,175,4,134.51,35,0,1,0,0,0,0,0,0,0,2,1,47590
13488,0,9,3207.68,1774,134,2,356.408888888889,14.8888888888889,0,0,3,0,1,3,1,1,0,0,2,47590
13505,0,7,4299.63,2466,159,2,614.232857142858,22.7142857142857,0,0,0,5,1,0,0,0,4,0,0,22699
13515,1,4,891.12,681,175,2,222.78,43.75,0,0,3,1,0,0,0,0,0,0,1,85123
13517,0,4,1592.83,972,73,36,398.2075,18.25,0,0,1,1,0,0,0,0,0,0,0,85159
13520,0,4,1332.08,649,56,58,333.02,14,0,0,0,0,0,0,0,0,3,0,0,POST
13524,0,4,483.86,207,138,11,120.965,34.5,0,0,2,0,0,0,0,0,0,0,0,22804
13527,0,6,1726.94,1464,111,19,287.823333333333,18.5,0,0,0,1,0,3,0,0,0,0,0,22749
13534,0,20,2724.38,1391,140,30,136.219,7,0,7,0,0,0,0,2,0,0,5,3,85099
13538,0,4,486.45,63,88,24,121.6125,22,0,0,0,0,0,0,0,0,0,0,0,48187
13549,0,6,759.97,410,99,72,126.661666666667,16.5,0,3,1,2,1,0,0,0,0,0,0,85099
13552,0,12,2331.26,950,136,11,194.271666666667,11.3333333333333,0,1,0,0,0,0,0,0,0,1,0,23111
13555,1,4,4149.28,2660,128,3,1037.32,32,0,0,1,1,0,1,0,0,0,0,0,84970
13571,0,6,938.56,774,133,22,156.426666666667,22.1666666666667,0,1,2,0,0,0,0,1,0,1,0,22197
13576,0,10,3322.71,1143,162,1,332.271,16.2,0,0,0,0,0,0,0,0,0,0,0,21137
13577,0,4,1164.5,577,152,18,291.125,38,0,4,0,0,1,0,1,0,0,2,0,85099
13588,0,6,1470.53,1719,49,16,245.088333333333,8.16666666666667,0,0,0,0,0,0,0,0,1,0,0,85049
13590,0,4,801.52,632,98,71,200.38,24.5,0,1,0,0,0,0,3,0,0,1,0,84997
13599,0,10,1512.07,1000,160,11,151.207,16,0,2,0,0,0,2,0,0,0,3,0,23203
13610,0,5,529.089999999999,264,133,40,105.818,26.6,0,2,0,0,0,0,0,0,0,0,0,22961
13627,0,5,1008.54,810,126,8,201.708,25.2,0,0,0,2,1,1,0,1,0,0,0,22771
13629,0,6,4293.36,2372,140,29,715.56,23.3333333333333,0,5,0,0,0,0,0,0,0,0,0,85099
13630,0,8,1478.94,1120,169,5,184.8675,21.125,0,1,0,0,0,0,0,0,0,0,0,84946
13631,1,11,2941.77,440,106,29,267.433636363636,9.63636363636364,0,0,0,2,0,0,0,0,0,0,0,22625
13632,0,4,810.35,315,69,103,202.5875,17.25,0,1,2,1,2,0,0,0,0,0,0,85123
13658,0,5,1879.07,801,118,15,375.814,23.6,0,0,0,3,0,0,0,0,0,2,0,22423
13662,1,5,655.13,364,126,15,131.026,25.2,0,0,0,0,2,0,0,0,0,0,0,23207
13668,0,15,2644.46,1577,135,43,176.297333333333,9,0,1,0,0,5,0,0,0,0,0,0,47566
13692,0,4,850.13,733,32,133,212.5325,8,0,0,0,0,0,1,0,0,1,0,0,22839
13694,0,36,30500.16,31257,181,1,847.226666666667,5.02777777777778,0,7,1,1,3,0,0,0,0,0,1,85099
13695,0,12,2013.81,1357,154,11,167.8175,12.8333333333333,0,0,0,0,4,4,0,0,0,0,0,22178
13700,0,5,1194.21,1411,149,22,238.842,29.8,0,0,0,0,0,0,0,0,0,0,0,22661
13704,0,5,1289.4,1028,14,3,257.88,2.8,0,0,0,0,1,0,0,1,0,0,0,85230
13709,0,7,2403.52,1583,80,18,343.36,11.4285714285714,0,0,0,0,1,0,0,0,0,2,0,23167
13717,0,4,645.19,1191,111,58,161.2975,27.75,0,0,0,4,0,1,0,0,0,0,0,22423
13735,0,4,1335.55,692,58,105,333.8875,14.5,0,0,0,0,0,1,0,0,0,0,0,84279
13741,1,4,666.33,217,145,1,166.5825,36.25,0,0,0,0,0,0,0,0,0,0,0,21314
13742,0,9,1611.59,511,148,19,179.065555555556,16.4444444444444,0,0,0,0,0,0,0,1,0,0,0,22626
13743,0,6,922.67,1259,128,18,153.778333333333,21.3333333333333,0,0,0,0,0,0,0,0,0,0,0,84077
13748,1,4,744.25,359,150,25,186.0625,37.5,0,0,0,3,0,0,0,0,0,0,0,22423
13752,1,6,1186.28,876,122,54,197.713333333333,20.3333333333333,0,0,0,0,1,0,0,0,0,0,0,21326
13756,0,5,1967.93,1399,112,23,393.586,22.4,0,0,0,0,2,3,0,0,0,0,0,23298
13767,0,30,8996.45,3662,171,10,299.881666666667,5.7,0,0,1,13,3,10,0,0,0,0,0,21314
13769,0,8,1232.1,430,154,22,154.0125,19.25,0,0,3,0,0,1,0,0,0,0,0,71477
13777,0,11,3683.29,1482,168,7,334.844545454545,15.2727272727273,0,4,3,0,0,0,3,0,0,0,0,15056
13784,0,5,1697.76,1476,124,24,339.552,24.8,0,0,0,2,0,0,0,0,0,0,0,84970
13798,0,30,15780.74,10670,176,2,526.024666666667,5.86666666666667,0,10,6,0,5,0,4,0,0,0,0,85099
13804,0,4,1559.35,898,77,8,389.8375,19.25,0,0,0,0,0,0,0,0,0,0,0,47590
13811,1,4,591.75,67,55,113,147.9375,13.75,0,0,0,0,0,0,0,0,2,0,0,POST
13813,0,4,945.87,435,63,0,236.4675,15.75,0,0,0,0,0,0,0,0,3,0,0,POST
13831,0,4,1387.59,461,131,17,346.8975,32.75,0,0,4,0,0,0,0,0,0,0,0,85123
13842,0,4,1585.33,809,155,2,396.3325,38.75,0,0,1,1,0,3,0,0,0,0,0,84879
13854,0,13,3554.18,930,158,18,273.398461538461,12.1538461538462,0,0,0,3,3,5,0,0,0,0,0,84879
13856,1,5,363.4,484,34,98,72.68,6.8,0,0,0,0,0,0,0,0,0,0,0,79000
13862,0,6,1398.4,1061,159,2,233.066666666667,26.5,0,0,0,0,0,0,0,0,0,0,0,22993
13870,0,5,1618.64,670,66,31,323.728,13.2,0,0,0,0,1,0,0,0,0,0,0,85049
13871,0,7,3344.29,1397,150,15,477.755714285714,21.4285714285714,0,3,0,3,0,0,1,3,0,5,0,22798
13880,0,8,1992.92,1169,150,17,249.115,18.75,0,0,0,1,2,0,0,0,0,0,0,84912
13881,0,11,7956.94,4812,170,1,723.358181818182,15.4545454545455,0,0,0,0,0,1,3,3,0,0,0,82582
13883,0,5,693.39,398,18,130,138.678,3.6,0,0,0,0,0,0,0,0,1,0,0,22995
13908,1,4,1851.05,1121,135,9,462.7625,33.75,0,0,0,0,0,2,0,1,0,0,0,22301
13911,0,5,1596.08,1576,101,74,319.216,20.2,0,0,1,0,0,0,0,0,0,0,1,22693
13925,0,5,629.4,328,42,22,125.88,8.4,0,0,0,0,0,0,0,0,0,0,0,22847
13969,0,8,3102.97,1569,124,37,387.87125,15.5,0,4,0,1,1,0,2,0,0,3,3,85132
13971,0,5,1307.64,818,108,36,261.528,21.6,0,1,0,0,2,1,0,0,0,3,0,23203
13983,0,4,823.6,560,143,18,205.9,35.75,0,0,0,1,0,0,0,0,0,0,0,71459
13985,0,8,3362.66,1676,143,1,420.3325,17.875,0,6,0,0,0,0,4,0,0,2,0,22379
13988,0,4,2547.6,1939,128,2,636.9,32,0,1,2,0,0,3,0,1,0,1,0,85066
13993,0,7,1781.86,519,153,14,254.551428571428,21.8571428571429,0,0,0,2,0,2,0,0,0,1,0,22960
13995,0,4,861.7,596,130,45,215.425,32.5,0,0,0,0,0,0,1,0,0,0,3,22383
13999,0,9,1921.24,1082,128,16,213.471111111111,14.2222222222222,0,2,0,0,4,0,3,0,0,5,0,23203
14004,0,5,2869.47,1791,95,8,573.894,19,0,3,0,0,0,0,2,0,0,3,1,85099
14005,0,4,977.68,1092,140,5,244.42,35,0,0,0,4,0,0,0,0,0,0,0,22423
14030,0,4,833.08,708,156,19,208.27,39,0,0,0,1,0,0,0,0,0,0,0,47567
14031,0,7,5522.56,2045,158,4,788.937142857143,22.5714285714286,0,1,0,2,0,3,0,0,0,0,0,15056
14032,0,7,1187.76,901,153,17,169.68,21.8571428571429,0,0,0,0,0,0,0,0,0,0,0,22064
14038,1,4,1554.48,963,128,8,388.62,32,0,2,0,0,0,0,1,0,0,2,3,84997
14040,0,10,1761.53,923,145,24,176.153,14.5,0,4,0,3,0,0,4,0,1,1,0,85099
14051,0,10,5224.08,1227,147,21,522.408,14.7,0,0,0,4,4,0,0,0,0,0,0,15056
14056,0,18,4028.70999999999,1992,154,14,223.817222222222,8.55555555555556,0,4,0,0,0,0,6,1,0,3,0,23052
14057,0,9,3200.51,2265,150,19,355.612222222222,16.6666666666667,0,1,0,0,0,0,0,0,0,1,1,23201
14060,0,10,3059.1,2451,161,9,305.91,16.1,0,0,0,0,0,0,0,0,0,0,0,22900
14062,0,7,6129.08,2302,168,1,875.582857142857,24,0,0,0,0,0,0,0,0,0,0,0,21175
14078,1,4,743.08,247,125,31,185.77,31.25,0,0,0,0,0,0,0,0,0,0,0,15044
14088,0,7,17886.66,5075,61,58,2555.23714285714,8.71428571428571,0,2,0,2,1,0,1,0,0,0,0,85099
14092,0,6,1586.99,945,137,29,264.498333333333,22.8333333333333,0,0,3,0,0,0,0,2,0,0,0,85123
14096,0,13,8037.22000000002,2344,27,4,618.247692307694,2.07692307692308,6,1,0,2,0,0,1,1,0,0,1,84596
14099,0,5,1235.86,719,97,50,247.172,19.4,0,0,0,0,1,0,0,0,0,0,0,21865
14110,0,7,3247.85,1477,158,16,463.978571428572,22.5714285714286,0,1,1,0,3,0,0,0,0,1,0,21137
14111,0,4,291.25,201,156,15,72.8125,39,0,0,0,0,0,0,0,0,0,0,0,22784
14112,0,6,1258.12,756,92,43,209.686666666667,15.3333333333333,0,2,1,0,0,0,1,0,0,2,1,85099
14132,0,6,1900.2,1686,96,17,316.7,16,0,0,0,0,0,0,0,0,0,0,0,23191
14135,0,4,1702.41,1397,144,5,425.6025,36,0,0,0,0,0,0,0,0,0,0,0,85049
14145,0,4,2257.2,456,84,63,564.3,21,0,0,0,0,0,0,0,0,0,0,0,15056
14156,0,32,67962.3700000001,35007,178,0,2123.8240625,5.5625,8,2,2,7,5,1,7,1,0,3,3,C2
14159,0,9,2480.87,2294,105,11,275.652222222222,11.6666666666667,0,3,6,0,3,0,4,1,0,2,4,84596
14163,1,4,2445.91,893,151,17,611.4775,37.75,0,0,0,0,0,0,0,0,0,0,0,15056
14177,1,5,554.46,204,94,14,110.892,18.8,0,0,1,0,1,0,0,0,0,0,0,21317
14180,0,11,1509.25,249,143,21,137.204545454546,13,0,0,0,0,0,0,0,0,0,0,0,22180
14188,0,6,1313.31,756,143,1,218.885,23.8333333333333,0,3,0,0,0,0,3,0,0,4,0,23209
